TPM_column,PC1,PC2,group,GSM,title
C_WT_396953_MG,-38.69421326144625,9.165735162630284,Control_WT,GSM8830383,Control_Wild-type 4
C_WT_235951_MG,-37.07728736390616,-9.98237969673097,Control_WT,GSM8830381,Control_Wild-type 2
C_WT_396025_MG,-38.118049417295566,1.9281788360172154,Control_WT,GSM8830382,Control_Wild-type 3
C_WT_91431_MG,-25.47213393712387,-37.161733342706505,Control_WT,GSM8830380,Control_Wild-type 1
C_TG_914783_MG,-36.5846100152346,11.874662858789879,Control_TG,GSM8830388,Contro_Transgenic P1.hMR 5
C_TG_914001_MG,-36.474738137548755,28.922707438848,Control_TG,GSM8830387,Contro_Transgenic P1.hMR 4
C_TG_396092_MG,-40.244523138248006,6.2048245720484605,Control_TG,GSM8830385,Contro_Transgenic P1.hMR 2
C_TG_382924_MG,-31.143487276652444,-10.160504945794496,Control_TG,GSM8830384,Contro_Transgenic P1.hMR 1
C_TG_904261_MG,-35.42733711660898,-5.414766846811891,Control_TG,GSM8830386,Contro_Transgenic P1.hMR 3
U_WT_713642_MG,34.97931485140309,-29.253233524897958,UVB_WT,GSM8830390,UVB_Wild-type 2
U_WT_395857_MG,29.580940829819845,20.780299385927325,UVB_WT,GSM8830389,UVB_Wild-type 1
U_WT_904250_MG,37.67727748035395,-0.6727255570412349,UVB_WT,GSM8830391,UVB_Wild-type 3
U_TG_372932_MG,34.93531040088859,-12.454200189292436,UVB_TG,GSM8830393,UVB_Transgenic P1.hMR 2
U_TG_91817_MG,40.451354434319214,0.07482454217133815,UVB_TG,GSM8830392,UVB_Transgenic P1.hMR 1
U_TG_396532_MG,55.40997874077746,4.673413939670472,UVB_TG,GSM8830396,UVB_Transgenic P1.hMR 5
U_TG_380381_MG,41.8169120396568,1.5106512936618295,UVB_TG,GSM8830394,UVB_Transgenic P1.hMR 3
U_TG_381797_MG,44.38529088684568,19.964246073510687,UVB_TG,GSM8830395,UVB_Transgenic P1.hMR 4
