TPM_column,group,module_score,GSM,title
C_TG_914783_MG,Control_TG,-0.6155769796124781,GSM8830388,Contro_Transgenic P1.hMR 5
C_TG_914001_MG,Control_TG,-0.6813335711568004,GSM8830387,Contro_Transgenic P1.hMR 4
C_TG_396092_MG,Control_TG,-0.7532685927599821,GSM8830385,Contro_Transgenic P1.hMR 2
C_TG_382924_MG,Control_TG,-0.5890627290581484,GSM8830384,Contro_Transgenic P1.hMR 1
C_TG_904261_MG,Control_TG,-0.7726920969990516,GSM8830386,Contro_Transgenic P1.hMR 3
U_TG_372932_MG,UVB_TG,0.2373442084634483,GSM8830393,UVB_Transgenic P1.hMR 2
U_TG_91817_MG,UVB_TG,0.44588529966206064,GSM8830392,UVB_Transgenic P1.hMR 1
U_TG_396532_MG,UVB_TG,0.9155554480800299,GSM8830396,UVB_Transgenic P1.hMR 5
U_TG_380381_MG,UVB_TG,0.7585588415154461,GSM8830394,UVB_Transgenic P1.hMR 3
U_TG_381797_MG,UVB_TG,1.0545901718654702,GSM8830395,UVB_Transgenic P1.hMR 4
