Comparison,Term,NES,NOM_p,FDR_q
KO_vs_WT1,Response to Cytokine (GO:0034097),1.1716708581360686,0.19938552812797966,0.6229993858159616
KO_vs_WT1,Defense Response to Virus (GO:0051607),1.1386951093959639,0.2343717332218273,0.38167925141804254
KO_vs_WT1,Response to Type II Interferon (GO:0034341),1.0404320565396659,0.421835370071478,0.41392391343617907
KO_vs_WT2,Response to Type II Interferon (GO:0034341),-0.9553670359595144,0.5350938151494093,0.5511236791189165
KO_vs_WT2,Defense Response to Virus (GO:0051607),0.8853850542218139,0.7037669145434597,1.0
KO_vs_WT2,Response to Cytokine (GO:0034097),0.7238352171186783,0.9338863750628457,0.9238005240324728
KO_vs_WT3,Response to Type II Interferon (GO:0034341),1.9365077641326545,0.0006647462884998893,0.0008813160987074031
KO_vs_WT3,Response to Cytokine (GO:0034097),1.5476026091427466,0.00723525542644157,0.018287309048178615
KO_vs_WT3,Defense Response to Virus (GO:0051607),1.482997035087985,0.009687362395420519,0.021151586368977675
KO_vs_WTmean,Defense Response to Virus (GO:0051607),1.1190999525383813,0.25448785638859556,0.8137512080629573
KO_vs_WTmean,Response to Cytokine (GO:0034097),1.0542854784821414,0.36609436257942407,0.5537760596437941
KO_vs_WTmean,Response to Type II Interferon (GO:0034341),0.9805898707570908,0.48564239194789816,0.4948686087716876
