Resolution,Sample,MG_state,Cells_n,Sample_total_MG_cells,Percent
r0.2,WT1,Basal duct,88,1070,8.22429906542056
r0.2,WT1,Cycling MG,107,1070,10.0
r0.2,WT1,Defense/stress duct-like,280,1070,26.16822429906542
r0.2,WT1,Differentiated duct,209,1070,19.53271028037383
r0.2,WT1,Early/differentiating meibocyte,279,1070,26.074766355140188
r0.2,WT1,Lipogenic/differentiated meibocyte,107,1070,10.0
r0.2,WT2,Basal duct,82,827,9.915356711003627
r0.2,WT2,Cycling MG,79,827,9.552599758162032
r0.2,WT2,Defense/stress duct-like,263,827,31.801692865779927
r0.2,WT2,Differentiated duct,141,827,17.04957678355502
r0.2,WT2,Early/differentiating meibocyte,183,827,22.128174123337363
r0.2,WT2,Lipogenic/differentiated meibocyte,79,827,9.552599758162032
r0.2,WT3,Basal duct,307,2270,13.524229074889869
r0.2,WT3,Cycling MG,207,2270,9.118942731277533
r0.2,WT3,Defense/stress duct-like,569,2270,25.066079295154186
r0.2,WT3,Differentiated duct,292,2270,12.863436123348018
r0.2,WT3,Early/differentiating meibocyte,603,2270,26.56387665198238
r0.2,WT3,Lipogenic/differentiated meibocyte,292,2270,12.863436123348018
r0.2,KO,Basal duct,94,4736,1.9847972972972974
r0.2,KO,Cycling MG,562,4736,11.866554054054054
r0.2,KO,Defense/stress duct-like,1378,4736,29.096283783783782
r0.2,KO,Differentiated duct,1476,4736,31.16554054054054
r0.2,KO,Early/differentiating meibocyte,729,4736,15.392736486486486
r0.2,KO,Lipogenic/differentiated meibocyte,497,4736,10.494087837837839
r0.4,WT1,Basal duct,88,1070,8.22429906542056
r0.4,WT1,Cycling MG,126,1070,11.77570093457944
r0.4,WT1,Defense/stress duct-like,309,1070,28.878504672897197
r0.4,WT1,Differentiated duct,162,1070,15.14018691588785
r0.4,WT1,Early/differentiating meibocyte,263,1070,24.57943925233645
r0.4,WT1,Lipogenic/differentiated meibocyte,122,1070,11.401869158878505
r0.4,WT2,Basal duct,82,827,9.915356711003627
r0.4,WT2,Cycling MG,96,827,11.608222490931077
r0.4,WT2,Defense/stress duct-like,265,827,32.04353083434099
r0.4,WT2,Differentiated duct,129,827,15.598548972188633
r0.4,WT2,Early/differentiating meibocyte,169,827,20.435308343409915
r0.4,WT2,Lipogenic/differentiated meibocyte,86,827,10.399032648125756
r0.4,WT3,Basal duct,307,2270,13.524229074889869
r0.4,WT3,Cycling MG,228,2270,10.044052863436123
r0.4,WT3,Defense/stress duct-like,609,2270,26.82819383259912
r0.4,WT3,Differentiated duct,253,2270,11.145374449339206
r0.4,WT3,Early/differentiating meibocyte,481,2270,21.18942731277533
r0.4,WT3,Lipogenic/differentiated meibocyte,392,2270,17.26872246696035
r0.4,KO,Basal duct,94,4736,1.9847972972972974
r0.4,KO,Cycling MG,738,4736,15.58277027027027
r0.4,KO,Defense/stress duct-like,1226,4736,25.886824324324323
r0.4,KO,Differentiated duct,1512,4736,31.925675675675677
r0.4,KO,Early/differentiating meibocyte,607,4736,12.816722972972974
r0.4,KO,Lipogenic/differentiated meibocyte,559,4736,11.80320945945946
r0.6,WT1,Basal duct,88,1070,8.22429906542056
r0.6,WT1,Cycling MG,123,1070,11.495327102803738
r0.6,WT1,Defense/stress duct-like,326,1070,30.46728971962617
r0.6,WT1,Differentiated duct,148,1070,13.83177570093458
r0.6,WT1,Early/differentiating meibocyte,242,1070,22.61682242990654
r0.6,WT1,Lipogenic/differentiated meibocyte,143,1070,13.36448598130841
r0.6,WT2,Basal duct,82,827,9.915356711003627
r0.6,WT2,Cycling MG,98,827,11.85006045949214
r0.6,WT2,Defense/stress duct-like,286,827,34.582829504232166
r0.6,WT2,Differentiated duct,105,827,12.696493349455865
r0.6,WT2,Early/differentiating meibocyte,162,827,19.588875453446192
r0.6,WT2,Lipogenic/differentiated meibocyte,94,827,11.366384522370012
r0.6,WT3,Basal duct,309,2270,13.612334801762115
r0.6,WT3,Cycling MG,230,2270,10.13215859030837
r0.6,WT3,Defense/stress duct-like,633,2270,27.88546255506608
r0.6,WT3,Differentiated duct,230,2270,10.13215859030837
r0.6,WT3,Early/differentiating meibocyte,431,2270,18.986784140969164
r0.6,WT3,Lipogenic/differentiated meibocyte,437,2270,19.251101321585903
r0.6,KO,Basal duct,96,4736,2.027027027027027
r0.6,KO,Cycling MG,875,4736,18.475506756756758
r0.6,KO,Defense/stress duct-like,1519,4736,32.073479729729726
r0.6,KO,Differentiated duct,1083,4736,22.86739864864865
r0.6,KO,Early/differentiating meibocyte,567,4736,11.972128378378379
r0.6,KO,Lipogenic/differentiated meibocyte,596,4736,12.58445945945946
