cluster,state,gene,KO,WT1,WT2,WT3,KO_above_allWT
0,Defense/stress duct-like,Ccl20,28.11568667878765,20.855731093564124,13.69885628600121,18.1430123712475,True
0,Defense/stress duct-like,Cxcl1,472.00274000146544,308.7466073655081,336.8513635455169,198.65836235071845,True
0,Defense/stress duct-like,Cxcl2,209.74457169740208,209.37518274323202,160.5224954539116,120.44520817886998,True
0,Defense/stress duct-like,Cxcl5,4.1050451624676185,5.3161667493398745,0.35125272528208223,0.45738686650203786,False
0,Defense/stress duct-like,Ifitm1,13.631848086684922,2.8625513265676252,1.0537581758462469,1.6770851771741389,True
0,Defense/stress duct-like,Ifitm3,1716.838322099193,1929.7685300103747,1696.9019158377394,1277.0241312736896,False
0,Defense/stress duct-like,Il1rn,37.41012855607283,18.811051574587253,30.207734374259076,11.739596240218972,True
0,Defense/stress duct-like,Lcn2,810.8626001108207,270.7155683125382,205.83409701530022,156.883695210199,True
0,Defense/stress duct-like,S100a8,41.050451624676185,0.0,1.0537581758462469,0.6098491553360506,True
0,Defense/stress duct-like,Slpi,22.539021552416546,22.08253880495025,34.77401980292615,66.16863335396147,False
1,Early/differentiating meibocyte,Ccl20,39.765838437321,10.299415787709618,18.240539453009998,8.126748280451448,True
1,Early/differentiating meibocyte,Cxcl1,1665.7232856058665,1758.845947518297,852.9276248227476,904.2654775842867,False
1,Early/differentiating meibocyte,Cxcl2,460.79722891331807,351.94575091716297,216.3327979126986,226.4507426255525,True
1,Early/differentiating meibocyte,Cxcl5,3.278566466906785,0.0,0.0,0.4392836908352134,True
1,Early/differentiating meibocyte,Ifitm1,9.412658566280768,2.648421202553902,2.5536755234213997,3.6240904493905104,True
1,Early/differentiating meibocyte,Ifitm3,1433.3681072899244,1093.2094186097495,1027.6719927825834,605.6623887390505,True
1,Early/differentiating meibocyte,Il1rn,10.893301486819317,7.062456540143739,1.4592431562408,4.722299676478544,True
1,Early/differentiating meibocyte,Lcn2,1176.0535197420465,438.1665745114178,265.94706522488576,191.19822643602663,True
1,Early/differentiating meibocyte,S100a8,4.759209387445332,0.29426902250598913,0.3648107890602,1.9767766087584602,True
1,Early/differentiating meibocyte,Slpi,24.007567354446458,19.127486462889294,12.0387560389866,10.103524889209908,True
2,Differentiated duct,Ccl20,41.27388339670211,41.18612153685286,35.764475194475295,84.5506548517522,False
2,Differentiated duct,Cxcl1,469.6224609421916,333.36531314535017,396.27038515478625,346.7500899794537,True
2,Differentiated duct,Cxcl2,486.40586945137187,405.0776188801057,188.35956935756988,544.4969767365573,False
2,Differentiated duct,Cxcl5,46.39888692747744,9.206309520002403,7.62975470815473,23.563297253767008,True
2,Differentiated duct,Ifitm1,11.423671992262575,0.9690852126318319,0.9537193385193412,3.927216208961168,True
2,Differentiated duct,Ifitm3,747.7028051921998,602.2864596506836,703.8448718272738,371.2374381059175,True
2,Differentiated duct,Il1rn,125.89512490103071,92.06309520002402,75.34382774302796,74.6171079702622,True
2,Differentiated duct,Lcn2,823.6780483736172,179.2807643368889,242.72157165317233,167.94624611263347,True
2,Differentiated duct,S100a8,152.77205181433342,1.453627818947748,0.0,1.1550635908709317,True
