cluster,state,sample,gene,n_cells,library_counts,gene_counts,CPM
0,Defense/stress duct-like,WT1,Cxcl5,309,2445371.0,13.0,5.3161667493398745
0,Defense/stress duct-like,WT1,Cxcl1,309,2445371.0,755.0,308.7466073655081
0,Defense/stress duct-like,WT1,Cxcl2,309,2445371.0,512.0,209.37518274323202
0,Defense/stress duct-like,WT1,Ccl20,309,2445371.0,51.0,20.855731093564124
0,Defense/stress duct-like,WT1,Slpi,309,2445371.0,54.0,22.08253880495025
0,Defense/stress duct-like,WT1,S100a8,309,2445371.0,0.0,0.0
0,Defense/stress duct-like,WT1,Ifitm1,309,2445371.0,7.0,2.8625513265676252
0,Defense/stress duct-like,WT1,Ifitm3,309,2445371.0,4719.0,1929.7685300103747
0,Defense/stress duct-like,WT1,Il1rn,309,2445371.0,46.0,18.811051574587253
0,Defense/stress duct-like,WT1,Lcn2,309,2445371.0,662.0,270.7155683125382
0,Defense/stress duct-like,WT2,Cxcl5,265,2846953.0,1.0,0.35125272528208223
0,Defense/stress duct-like,WT2,Cxcl1,265,2846953.0,959.0,336.8513635455169
0,Defense/stress duct-like,WT2,Cxcl2,265,2846953.0,457.0,160.5224954539116
0,Defense/stress duct-like,WT2,Ccl20,265,2846953.0,39.0,13.69885628600121
0,Defense/stress duct-like,WT2,Slpi,265,2846953.0,99.0,34.77401980292615
0,Defense/stress duct-like,WT2,S100a8,265,2846953.0,3.0,1.0537581758462469
0,Defense/stress duct-like,WT2,Ifitm1,265,2846953.0,3.0,1.0537581758462469
0,Defense/stress duct-like,WT2,Ifitm3,265,2846953.0,4831.0,1696.9019158377394
0,Defense/stress duct-like,WT2,Il1rn,265,2846953.0,86.0,30.207734374259076
0,Defense/stress duct-like,WT2,Lcn2,265,2846953.0,586.0,205.83409701530022
0,Defense/stress duct-like,WT3,Cxcl5,609,6558999.0,3.0,0.45738686650203786
0,Defense/stress duct-like,WT3,Cxcl1,609,6558999.0,1303.0,198.65836235071845
