resolution,state,sample,n_cells,percent_of_sample
r0.2,Defense/stress duct-like,WT1,280,26.168224299065418
r0.2,Defense/stress duct-like,WT2,263,31.80169286577993
r0.2,Defense/stress duct-like,WT3,569,25.066079295154186
r0.2,Defense/stress duct-like,KO,1378,29.096283783783782
r0.2,Early/differentiating meibocyte,WT1,279,26.074766355140188
r0.2,Early/differentiating meibocyte,WT2,183,22.128174123337363
r0.2,Early/differentiating meibocyte,WT3,603,26.563876651982376
r0.2,Early/differentiating meibocyte,KO,729,15.392736486486486
r0.2,Differentiated duct,WT1,209,19.532710280373834
r0.2,Differentiated duct,WT2,141,17.04957678355502
r0.2,Differentiated duct,WT3,292,12.863436123348018
r0.2,Differentiated duct,KO,1476,31.165540540540544
r0.2,Lipogenic/differentiated meibocyte,WT1,107,10.0
r0.2,Lipogenic/differentiated meibocyte,WT2,79,9.552599758162032
r0.2,Lipogenic/differentiated meibocyte,WT3,292,12.863436123348018
r0.2,Lipogenic/differentiated meibocyte,KO,497,10.494087837837837
r0.2,Cycling MG,WT1,107,10.0
r0.2,Cycling MG,WT2,79,9.552599758162032
r0.2,Cycling MG,WT3,207,9.118942731277533
r0.2,Cycling MG,KO,562,11.866554054054054
r0.2,Basal duct,WT1,88,8.224299065420562
r0.2,Basal duct,WT2,82,9.915356711003627
r0.2,Basal duct,WT3,307,13.524229074889869
r0.2,Basal duct,KO,94,1.9847972972972971
r0.4,Defense/stress duct-like,WT1,309,28.878504672897197
r0.4,Defense/stress duct-like,WT2,265,32.04353083434099
r0.4,Defense/stress duct-like,WT3,609,26.82819383259912
r0.4,Defense/stress duct-like,KO,1226,25.886824324324326
r0.4,Early/differentiating meibocyte,WT1,263,24.57943925233645
r0.4,Early/differentiating meibocyte,WT2,169,20.435308343409915
r0.4,Early/differentiating meibocyte,WT3,481,21.18942731277533
r0.4,Early/differentiating meibocyte,KO,607,12.816722972972974
r0.4,Differentiated duct,WT1,162,15.14018691588785
r0.4,Differentiated duct,WT2,129,15.598548972188633
r0.4,Differentiated duct,WT3,253,11.145374449339208
r0.4,Differentiated duct,KO,1512,31.925675675675674
r0.4,Cycling MG,WT1,126,11.775700934579438
r0.4,Cycling MG,WT2,96,11.608222490931077
r0.4,Cycling MG,WT3,228,10.044052863436123
r0.4,Cycling MG,KO,738,15.582770270270272
r0.4,Lipogenic/differentiated meibocyte,WT1,122,11.401869158878505
r0.4,Lipogenic/differentiated meibocyte,WT2,86,10.399032648125756
r0.4,Lipogenic/differentiated meibocyte,WT3,392,17.26872246696035
r0.4,Lipogenic/differentiated meibocyte,KO,559,11.80320945945946
r0.4,Basal duct,WT1,88,8.224299065420562
r0.4,Basal duct,WT2,82,9.915356711003627
r0.4,Basal duct,WT3,307,13.524229074889869
r0.4,Basal duct,KO,94,1.9847972972972971
