Comparison,Seed,Rank_genes,Term,ES,NES,NOM_p,FDR_q
KO_vs_WT1,1,12520,Response to Cytokine (GO:0034097),0.32282931585147245,1.1888084604303377,0.17252396166134185,0.5350940665701882
KO_vs_WT1,1,12520,Defense Response to Virus (GO:0051607),0.303293976657511,1.130978652725321,0.24008350730688935,0.38205499276411
KO_vs_WT1,1,12520,Response to Type II Interferon (GO:0034341),0.31268397428602535,1.04023122524884,0.42560553633217996,0.4185962373371925
KO_vs_WT1,2,12520,Response to Cytokine (GO:0034097),0.3228293158516804,1.1915277461401153,0.17424242424242425,0.5255474452554745
KO_vs_WT1,2,12520,Defense Response to Virus (GO:0051607),0.30329397665763647,1.146364800357277,0.21793534932221065,0.3574817518248175
KO_vs_WT1,2,12520,Response to Type II Interferon (GO:0034341),0.31260379468378163,1.035666396490946,0.4305717619603267,0.4237226277372263
KO_vs_WT1,3,12520,Response to Cytokine (GO:0034097),0.32282931585150915,1.1834684945611238,0.1810436634717785,0.5748373101952278
KO_vs_WT1,3,12520,Defense Response to Virus (GO:0051607),0.3032939766577478,1.1356470356669284,0.259726603575184,0.398590021691974
KO_vs_WT1,3,12520,Response to Type II Interferon (GO:0034341),0.3126839742862283,1.0439954249574264,0.4029680365296804,0.41431670281995664
KO_vs_WT1,4,12520,Response to Cytokine (GO:0034097),0.32282931585171165,1.2068746701815578,0.15834218916046758,0.4916787264833575
KO_vs_WT1,4,12520,Defense Response to Virus (GO:0051607),0.30329397665749275,1.146571196413222,0.22292323869610936,0.36197539797395084
KO_vs_WT1,4,12520,Response to Type II Interferon (GO:0034341),0.3126839742861989,1.058213104065946,0.37729357798165136,0.3835021707670043
KO_vs_WT1,5,12520,Response to Cytokine (GO:0034097),0.32282931585168606,1.1991963959403242,0.1643979057591623,0.5472103004291846
KO_vs_WT1,5,12520,Defense Response to Virus (GO:0051607),0.30329397665747665,1.135602475720189,0.257201646090535,0.4050429184549356
KO_vs_WT1,5,12520,Response to Type II Interferon (GO:0034341),0.31260379468381466,1.03473971023136,0.4315304948216341,0.42310443490701
KO_vs_WT1,6,12520,Response to Cytokine (GO:0034097),0.3228293158518605,1.196863229655499,0.16613756613756614,0.5057887120115775
KO_vs_WT1,6,12520,Defense Response to Virus (GO:0051607),0.3032939766574416,1.1298085034456729,0.2453027139874739,0.39345151953690305
KO_vs_WT1,6,12520,Response to Type II Interferon (GO:0034341),0.31260379468398203,1.054075423126527,0.4065040650406504,0.38603473227206947
KO_vs_WT1,7,12520,Response to Cytokine (GO:0034097),0.32282931585152147,1.1881163889022617,0.1652452025586354,0.5495103373231774
KO_vs_WT1,7,12520,Defense Response to Virus (GO:0051607),0.30329397665758817,1.1285832096549753,0.25311203319502074,0.4042437431991295
KO_vs_WT1,7,12520,Response to Type II Interferon (GO:0034341),0.3126037946835275,1.0386658948725784,0.4245614035087719,0.4272760246644904
KO_vs_WT1,8,12520,Response to Cytokine (GO:0034097),0.32282931585161434,1.1938324208916944,0.16455696202531644,0.5216457960644008
KO_vs_WT1,8,12520,Defense Response to Virus (GO:0051607),0.3032939766577017,1.1370416069200786,0.23277661795407098,0.3644007155635063
KO_vs_WT1,8,12520,Response to Type II Interferon (GO:0034341),0.31260379468394117,1.0502861936654062,0.4026996625421822,0.38998211091234347
KO_vs_WT1,9,12520,Response to Cytokine (GO:0034097),0.32282931585153646,1.196206331496023,0.18412698412698414,0.5505577545879814
KO_vs_WT1,9,12520,Defense Response to Virus (GO:0051607),0.3032939766576277,1.150961470983696,0.22523461939520334,0.36811802806765026
KO_vs_WT1,9,12520,Response to Type II Interferon (GO:0034341),0.3126037946836226,1.044740044751545,0.4034285714285714,0.4073407700611731
KO_vs_WT1,10,12520,Response to Cytokine (GO:0034097),0.32282931585162333,1.189585796115848,0.17179215270413573,0.5352877307274702
KO_vs_WT1,10,12520,Defense Response to Virus (GO:0051607),0.30329397665770935,1.1401132992067131,0.2277951933124347,0.36427795874049945
KO_vs_WT1,10,12520,Response to Type II Interferon (GO:0034341),0.3126037946836662,1.0312481010708148,0.4298957126303592,0.4339486065870431
KO_vs_WT2,1,12538,Defense Response to Virus (GO:0051607),0.22636877426205068,0.8730569688639989,0.7070217917675545,1.0
KO_vs_WT2,1,12538,Response to Cytokine (GO:0034097),0.21510025431314428,0.8183337902801765,0.8378712871287128,1.0
KO_vs_WT2,1,12538,Response to Type II Interferon (GO:0034341),0.23707388804832247,0.7971407001886948,0.7849315068493151,0.8350253807106599
KO_vs_WT2,2,12538,Defense Response to Virus (GO:0051607),0.2263687742622774,0.8899680677063695,0.6733727810650888,1.0
KO_vs_WT2,2,12538,Response to Cytokine (GO:0034097),0.2151002543134094,0.8131961929236342,0.8300492610837439,1.0
KO_vs_WT2,2,12538,Response to Type II Interferon (GO:0034341),0.23707388804866364,0.7909819498836747,0.7885952712100139,0.8383838383838383
KO_vs_WT2,3,12538,Defense Response to Virus (GO:0051607),0.22636877426226448,0.8799535406233576,0.7063882063882064,1.0
KO_vs_WT2,3,12538,Response to Cytokine (GO:0034097),0.21510025431301957,0.8194914519036292,0.8173803526448362,1.0
KO_vs_WT2,3,12538,Response to Type II Interferon (GO:0034341),0.23707388804851656,0.8072946196793184,0.7808599167822469,0.823958780592529
KO_vs_WT2,4,12538,Defense Response to Virus (GO:0051607),0.22636877426210633,0.886045147302923,0.7024390243902439,1.0
KO_vs_WT2,4,12538,Response to Cytokine (GO:0034097),0.21510025431347637,0.818911746878999,0.8107416879795396,1.0
KO_vs_WT2,4,12538,Response to Type II Interferon (GO:0034341),0.23707388804835916,0.8049828342731686,0.7712691771269177,0.8236308753773178
KO_vs_WT2,5,12538,Defense Response to Virus (GO:0051607),0.22636877426230206,0.8864004521510168,0.6924034869240349,1.0
KO_vs_WT2,5,12538,Response to Cytokine (GO:0034097),0.21510025431312746,0.8277745297250398,0.7975609756097561,1.0
KO_vs_WT2,5,12538,Response to Type II Interferon (GO:0034341),0.23707388804826846,0.7959449372029772,0.8016997167138811,0.8329755259768141
KO_vs_WT2,6,12538,Defense Response to Virus (GO:0051607),0.22636877426220486,0.8965203304210863,0.652760736196319,1.0
KO_vs_WT2,6,12538,Response to Cytokine (GO:0034097),0.21510025431318192,0.8152907445776336,0.7995049504950495,1.0
KO_vs_WT2,6,12538,Response to Type II Interferon (GO:0034341),0.237073888048126,0.7848598023832623,0.8118131868131868,0.8417694598043386
KO_vs_WT2,7,12538,Defense Response to Virus (GO:0051607),0.22636877426236107,0.8842271034385906,0.6968215158924206,1.0
KO_vs_WT2,7,12538,Response to Cytokine (GO:0034097),0.21510025431327873,0.814084300898283,0.8229299363057325,1.0
KO_vs_WT2,7,12538,Response to Type II Interferon (GO:0034341),0.23707388804862314,0.7876203034294169,0.8027777777777778,0.848902281532501
KO_vs_WT2,8,12538,Defense Response to Virus (GO:0051607),0.22636877426222765,0.8821032322135056,0.7031055900621118,1.0
KO_vs_WT2,8,12538,Response to Cytokine (GO:0034097),0.21510025431284255,0.8170662115383535,0.7984595635430038,1.0
KO_vs_WT2,8,12538,Response to Type II Interferon (GO:0034341),0.2370738880485474,0.7960421439457531,0.7787234042553192,0.835736129314111
KO_vs_WT2,9,12538,Defense Response to Virus (GO:0051607),0.22636877426206686,0.8778032840113702,0.6992665036674817,1.0
KO_vs_WT2,9,12538,Response to Cytokine (GO:0034097),0.2151002543130929,0.8126544589139483,0.8188775510204082,1.0
KO_vs_WT2,9,12538,Response to Type II Interferon (GO:0034341),0.23707388804842597,0.7897938991222889,0.7964959568733153,0.8387372013651877
KO_vs_WT2,10,12538,Defense Response to Virus (GO:0051607),0.22636877426214488,0.8811143947984031,0.7073170731707317,1.0
KO_vs_WT2,10,12538,Response to Cytokine (GO:0034097),0.2151002543131886,0.8145848337108368,0.8076433121019109,1.0
KO_vs_WT2,10,12538,Response to Type II Interferon (GO:0034341),0.2370738880483857,0.8010637541352202,0.770098730606488,0.8184961106309421
KO_vs_WT3,1,12798,Response to Type II Interferon (GO:0034341),0.5719558790748808,1.9451607116250444,0.0,0.0
KO_vs_WT3,1,12798,Response to Cytokine (GO:0034097),0.399715322570632,1.5440264403489041,0.01160092807424594,0.023316062176165803
KO_vs_WT3,1,12798,Defense Response to Virus (GO:0051607),0.36974850466424214,1.4918273964298843,0.004310344827586207,0.02146558105107328
KO_vs_WT3,2,12798,Response to Type II Interferon (GO:0034341),0.5719558790750208,1.9211026325154388,0.0,0.0
KO_vs_WT3,2,12798,Response to Cytokine (GO:0034097),0.3997153225706434,1.5163419755706318,0.019138755980861243,0.03115727002967359
KO_vs_WT3,2,12798,Defense Response to Virus (GO:0051607),0.36974850466388537,1.47512730386936,0.010917030567685589,0.025222551928783383
KO_vs_WT3,3,12798,Response to Type II Interferon (GO:0034341),0.5719558790751085,1.9558805988251742,0.0,0.0
KO_vs_WT3,3,12798,Response to Cytokine (GO:0034097),0.39971532257056713,1.5577647477697294,0.008869179600886918,0.013090909090909092
KO_vs_WT3,3,12798,Defense Response to Virus (GO:0051607),0.369748504664218,1.4930840912943424,0.00847457627118644,0.01818181818181818
KO_vs_WT3,4,12798,Response to Type II Interferon (GO:0034341),0.5719558790744853,1.9360345996930435,0.0,0.0
KO_vs_WT3,4,12798,Response to Cytokine (GO:0034097),0.39971532257049025,1.530870162613039,0.018140589569160998,0.026966292134831465
KO_vs_WT3,4,12798,Defense Response to Virus (GO:0051607),0.36974850466424736,1.454258423672584,0.013100436681222707,0.0299625468164794
KO_vs_WT3,5,12798,Response to Type II Interferon (GO:0034341),0.5719558790747824,1.9382184814603391,0.002331002331002331,0.002255639097744361
KO_vs_WT3,5,12798,Response to Cytokine (GO:0034097),0.3997153225706371,1.5317583405845245,0.006711409395973154,0.016917293233082706
KO_vs_WT3,5,12798,Defense Response to Virus (GO:0051607),0.3697485046640789,1.4711684329517039,0.00881057268722467,0.022556390977443608
KO_vs_WT3,6,12798,Response to Type II Interferon (GO:0034341),0.5719558790747725,1.9428103189126813,0.0,0.0
KO_vs_WT3,6,12798,Response to Cytokine (GO:0034097),0.39971532257043796,1.5228123991460039,0.009259259259259259,0.023917995444191348
KO_vs_WT3,6,12798,Defense Response to Virus (GO:0051607),0.36974850466410936,1.4577498516609009,0.013953488372093023,0.024297646165527716
KO_vs_WT3,7,12798,Response to Type II Interferon (GO:0034341),0.5719558790746524,1.922911617908216,0.0022371364653243847,0.002240477968633309
KO_vs_WT3,7,12798,Response to Cytokine (GO:0034097),0.399715322570323,1.537204401862516,0.006802721088435374,0.021284540702016432
KO_vs_WT3,7,12798,Defense Response to Virus (GO:0051607),0.36974850466393644,1.4715826097157165,0.011086474501108648,0.024645257654966394
KO_vs_WT3,8,12798,Response to Type II Interferon (GO:0034341),0.5719558790745126,1.899653992164653,0.0,0.0
KO_vs_WT3,8,12798,Response to Cytokine (GO:0034097),0.3997153225706871,1.5251589974814002,0.011848341232227487,0.02714932126696833
KO_vs_WT3,8,12798,Defense Response to Virus (GO:0051607),0.3697485046641491,1.4760719253671546,0.01327433628318584,0.023378582202111614
KO_vs_WT3,9,12798,Response to Type II Interferon (GO:0034341),0.5719558790751709,1.9630842771369157,0.0,0.0
KO_vs_WT3,9,12798,Response to Cytokine (GO:0034097),0.3997153225708849,1.5325498867697485,0.008849557522123894,0.016891891891891893
KO_vs_WT3,9,12798,Defense Response to Virus (GO:0051607),0.3697485046640915,1.4982287868777318,0.011086474501108648,0.016516516516516516
KO_vs_WT3,10,12798,Response to Type II Interferon (GO:0034341),0.5719558790745801,1.973418972033574,0.0,0.0
KO_vs_WT3,10,12798,Response to Cytokine (GO:0034097),0.39971532257044473,1.5296597281523954,0.01126126126126126,0.020470053070507963
KO_vs_WT3,10,12798,Defense Response to Virus (GO:0051607),0.36974850466367754,1.482475797532956,0.007058823529411765,0.02122820318423048
KO_vs_WTmean,1,12551,Defense Response to Virus (GO:0051607),0.28086477376708413,1.1218409676125563,0.23915900131406045,0.7826685006877578
KO_vs_WTmean,1,12551,Response to Cytokine (GO:0034097),0.2808971646951233,1.0869039331106212,0.30952380952380953,0.4580467675378267
KO_vs_WTmean,1,12551,Response to Type II Interferon (GO:0034341),0.2906587847868778,0.9859515047026618,0.4759036144578313,0.4864740944520862
KO_vs_WTmean,2,12551,Defense Response to Virus (GO:0051607),0.28086477376718566,1.1196492880902083,0.24110671936758893,0.7836961556276054
KO_vs_WTmean,2,12551,Response to Cytokine (GO:0034097),0.28089716469516535,1.0767049898546792,0.3219645293315143,0.48981009726725333
KO_vs_WTmean,2,12551,Response to Type II Interferon (GO:0034341),0.29065878478662216,0.995088901786365,0.46476761619190404,0.46132468735525706
KO_vs_WTmean,3,12551,Defense Response to Virus (GO:0051607),0.2808647737671991,1.1156287673228216,0.24838292367399742,0.7962877030162413
KO_vs_WTmean,3,12551,Response to Cytokine (GO:0034097),0.28089716469537185,1.0868283386763677,0.29819694868238555,0.4663573085846868
KO_vs_WTmean,3,12551,Response to Type II Interferon (GO:0034341),0.2906587847868,1.0043776162733764,0.44175491679273826,0.45150812064965196
KO_vs_WTmean,4,12551,Defense Response to Virus (GO:0051607),0.2808647737668224,1.111249557872976,0.27440633245382584,0.8549511854951185
KO_vs_WTmean,4,12551,Response to Cytokine (GO:0034097),0.2808971646954475,1.0902322205468733,0.3106267029972752,0.46652719665271963
KO_vs_WTmean,4,12551,Response to Type II Interferon (GO:0034341),0.29065878478690416,0.9926471647694375,0.4658573596358118,0.4779172477917248
KO_vs_WTmean,5,12551,Defense Response to Virus (GO:0051607),0.2808647737672091,1.1235049359803866,0.24609375,0.7893284268629255
KO_vs_WTmean,5,12551,Response to Cytokine (GO:0034097),0.2808971646948513,1.0888229668440403,0.2936400541271989,0.45952161913523465
KO_vs_WTmean,5,12551,Response to Type II Interferon (GO:0034341),0.29065878478637347,0.9877945257659221,0.46776611694152925,0.47102115915363385
KO_vs_WTmean,6,12551,Defense Response to Virus (GO:0051607),0.2808647737671524,1.1010661587642936,0.27080581241743723,0.8918169209431346
KO_vs_WTmean,6,12551,Response to Cytokine (GO:0034097),0.28089716469549264,1.0782473563784678,0.3382949932341001,0.4951456310679612
