k,local_density_threshold,silhouette,prediction_error
5.0,0.5,0.7903157620013762,28204383.00842739
6.0,0.5,0.8205982516132962,27927837.57424996
7.0,0.5,0.8216076388944407,27688136.046877366
8.0,0.5,0.9659127376523935,27455881.453855723
9.0,0.5,0.8790503334319472,27273435.558570053
10.0,0.5,0.8887447131891597,27108219.13608115
11.0,0.5,0.8709549440522665,26975421.9097739
12.0,0.5,0.8891601465318448,26833868.473994587
13.0,0.5,0.8674707161517451,26724940.408952586
14.0,0.5,0.8137615556999868,26646325.463084094
15.0,0.5,0.7953825326690355,26552072.800029013
16.0,0.5,0.7654646686360195,26419940.718507048
17.0,0.5,0.7887317150269034,26343087.37409523
18.0,0.5,0.7641575572304486,26265474.489642
19.0,0.5,0.7941957431098963,26181314.3172046
20.0,0.5,0.8092732120978416,26100360.33303139
