gene,log2FoldChange,pvalue,adj_pvalue
Ifi47,4.40194851747152,4.32338327219385e-12,6.87158537282491e-08
H2-Eb1,4.06866624379994,5.2046622510938e-10,4.13614509094424e-06
H2-Ab1,3.50228188425625,2.39420837576809e-09,1.23358165788308e-05
Plac8,3.54703552238906,3.10452160030975e-09,1.23358165788308e-05
H2-Aa,4.6093360474603,1.0791224131321e-08,3.43031432686431e-05
Reg3g,5.96595410073421,2.33691398699896e-07,0.000500364111082196
Rtp4,3.50231467370577,2.51850565537786e-07,0.000500364111082196
Oas1a,3.81576360299189,3.49464910045065e-06,0.00504945025477843
Ceacam10,5.63698762708728,8.14928970627259e-06,0.00761910650538215
Ttc39aos1,9.19958608771601,7.84664598436224e-06,0.00761910650538215
Krtap1-5,3.89081968917188,1.41115857230416e-05,0.0124605301934458
Krtap6-5,4.25355157605936,2.81784525825816e-05,0.0203576511521615
Aqp4,2.31016552391311,4.43183552857409e-05,0.0262755992002826
Foxa1,3.88385663007981,4.15210466431224e-05,0.0262755992002826
Wdfy1,3.24786049105155,6.52257020719639e-05,0.0345565769577265
Lhfpl4,8.77279324171804,7.76545182899173e-05,0.0398142230225789
Irgm2,2.56843125138363,9.8734848161979e-05,0.0461556375496028
Zbp1,2.95023795273368,9.44856522034522e-05,0.0461556375496028
