Probe_rule,Seed,Total_gene_level_rows,Zero_variance_removed,Genes_ranked,Term,ES,NES,NOM_p,FDR_q
representativeProbe,1,25159,2212,22947,Response to Type II Interferon (GO:0034341),0.37380417269364913,1.6717535209764764,0.0024154589371980675,0.0024875621890547263
representativeProbe,1,25159,2212,22947,Response to Cytokine (GO:0034097),0.17458463867567384,0.8823522355694884,0.7615384615384615,0.7213930348258707
representativeProbe,2,25159,2212,22947,Response to Type II Interferon (GO:0034341),0.3738041726937878,1.6784792059210707,0.0,0.0
representativeProbe,2,25159,2212,22947,Response to Cytokine (GO:0034097),0.17432408624315898,0.8763955737832833,0.7769607843137255,0.7406103286384976
representativeProbe,3,25159,2212,22947,Response to Type II Interferon (GO:0034341),0.373804172693748,1.66662130936062,0.0024509803921568627,0.0025673940949935813
representativeProbe,3,25159,2212,22947,Response to Cytokine (GO:0034097),0.17432408624310072,0.8671348131563578,0.77088948787062,0.7599486521181001
representativeProbe,4,25159,2212,22947,Response to Type II Interferon (GO:0034341),0.37380417269361677,1.6774219338299712,0.005194805194805195,0.005277044854881266
representativeProbe,4,25159,2212,22947,Response to Cytokine (GO:0034097),0.17432408624301302,0.8815677095235315,0.7667560321715817,0.7203166226912929
representativeProbe,5,25159,2212,22947,Response to Type II Interferon (GO:0034341),0.37380417269367877,1.6840056612772942,0.0023923444976076554,0.0024242424242424242
representativeProbe,5,25159,2212,22947,Response to Cytokine (GO:0034097),0.1751982969557617,0.8994257840665184,0.6953316953316954,0.6884848484848485
representativeProbe,6,25159,2212,22947,Response to Type II Interferon (GO:0034341),0.3738041726937618,1.6641158492302595,0.0,0.0
representativeProbe,6,25159,2212,22947,Response to Cytokine (GO:0034097),0.17480380234705586,0.879440147413404,0.7538461538461538,0.7336448598130841
representativeProbe,7,25159,2212,22947,Response to Type II Interferon (GO:0034341),0.37380417269384636,1.6674118843436507,0.0044943820224719105,0.004672897196261682
representativeProbe,7,25159,2212,22947,Response to Cytokine (GO:0034097),0.17432408624322798,0.8759540262345442,0.7688564476885644,0.7348130841121495
representativeProbe,8,25159,2212,22947,Response to Type II Interferon (GO:0034341),0.3738041726936842,1.6313164831802334,0.004878048780487805,0.010178117048346057
representativeProbe,8,25159,2212,22947,Response to Cytokine (GO:0034097),0.17515446422141112,0.8709624797528867,0.7606382978723404,0.72264631043257
representativeProbe,9,25159,2212,22947,Response to Type II Interferon (GO:0034341),0.3738041726937177,1.6606433147093933,0.006818181818181818,0.007228915662650603
representativeProbe,9,25159,2212,22947,Response to Cytokine (GO:0034097),0.17432408624304735,0.8809784357166071,0.7923076923076923,0.744578313253012
representativeProbe,10,25159,2212,22947,Response to Type II Interferon (GO:0034341),0.37380417269365246,1.6701060834866848,0.002583979328165375,0.0025673940949935813
representativeProbe,10,25159,2212,22947,Response to Cytokine (GO:0034097),0.17432408624309348,0.8865017243785496,0.7346938775510204,0.7175866495507061
maxLog2VarianceProbe,1,25159,2212,22947,Response to Type II Interferon (GO:0034341),0.35390911507261297,1.5995777191745708,0.009828009828009828,0.010256410256410256
maxLog2VarianceProbe,1,25159,2212,22947,Response to Cytokine (GO:0034097),0.17736644542930202,0.8885514655407559,0.7453083109919572,0.7
maxLog2VarianceProbe,2,25159,2212,22947,Response to Type II Interferon (GO:0034341),0.35390911507269807,1.5868375773314922,0.01643192488262911,0.017114914425427872
maxLog2VarianceProbe,2,25159,2212,22947,Response to Cytokine (GO:0034097),0.1773664454292847,0.8941288423429327,0.7142857142857143,0.69559902200489
maxLog2VarianceProbe,3,25159,2212,22947,Response to Type II Interferon (GO:0034341),0.3539091150727952,1.577500454980737,0.007142857142857143,0.012642225031605562
maxLog2VarianceProbe,3,25159,2212,22947,Response to Cytokine (GO:0034097),0.17736644542927393,0.8872748890906073,0.7358490566037735,0.706700379266751
maxLog2VarianceProbe,4,25159,2212,22947,Response to Type II Interferon (GO:0034341),0.3539091150725397,1.60886086364455,0.009029345372460496,0.009523809523809525
maxLog2VarianceProbe,4,25159,2212,22947,Response to Cytokine (GO:0034097),0.17736644542913454,0.8967753876181956,0.7355163727959698,0.7107142857142857
maxLog2VarianceProbe,5,25159,2212,22947,Response to Type II Interferon (GO:0034341),0.35390911507252165,1.5433469750012647,0.0,0.007575757575757576
maxLog2VarianceProbe,5,25159,2212,22947,Response to Cytokine (GO:0034097),0.17736644542936805,0.8811276741339585,0.7287671232876712,0.7070707070707071
maxLog2VarianceProbe,6,25159,2212,22947,Response to Type II Interferon (GO:0034341),0.35390911507264455,1.5881419749344354,0.010282776349614395,0.01032258064516129
maxLog2VarianceProbe,6,25159,2212,22947,Response to Cytokine (GO:0034097),0.1773664454292022,0.8968231058817172,0.7383419689119171,0.7083870967741935
maxLog2VarianceProbe,7,25159,2212,22947,Response to Type II Interferon (GO:0034341),0.3539091150728284,1.6070957028199373,0.01020408163265306,0.013071895424836602
maxLog2VarianceProbe,7,25159,2212,22947,Response to Cytokine (GO:0034097),0.1773664454294152,0.8962462115049755,0.7211796246648794,0.6823529411764706
maxLog2VarianceProbe,8,25159,2212,22947,Response to Type II Interferon (GO:0034341),0.35390911507265443,1.548784298947048,0.0049261083743842365,0.007246376811594203
maxLog2VarianceProbe,8,25159,2212,22947,Response to Cytokine (GO:0034097),0.1773664454293472,0.9021751646487494,0.7085308056872038,0.6932367149758454
maxLog2VarianceProbe,9,25159,2212,22947,Response to Type II Interferon (GO:0034341),0.35390911507266715,1.596477005238767,0.007425742574257425,0.007731958762886598
maxLog2VarianceProbe,9,25159,2212,22947,Response to Cytokine (GO:0034097),0.17736644542922114,0.8910813630265593,0.6989247311827957,0.7036082474226805
maxLog2VarianceProbe,10,25159,2212,22947,Response to Type II Interferon (GO:0034341),0.353909115072577,1.591427198066599,0.007159904534606206,0.007334963325183374
maxLog2VarianceProbe,10,25159,2212,22947,Response to Cytokine (GO:0034097),0.17736644542917607,0.892922489278698,0.7142857142857143,0.7029339853300733
