Symbol,meanProbe,All_mean_log2,maxVar_probe,log2_variance,same_probe
7A5,ILMN_1762337,4.0010252427054915,ILMN_1762337,1.2613471261968715e-05,True
A1BG,ILMN_2055271,6.103012102648414,ILMN_2055271,0.3517731621778021,True
A1CF,ILMN_1779670,5.807516315990991,ILMN_1806310,0.22328603858740834,False
A26A1,ILMN_1671474,4.145270332490585,ILMN_1671474,0.10975854740419119,True
A26B1,ILMN_1772582,4.01861843453073,ILMN_1772582,0.0017232652897352018,True
A26C1B,ILMN_1735698,4.441489999612012,ILMN_1735698,0.18128659047082404,True
A26C3,ILMN_1653355,6.458379455267414,ILMN_1653355,0.08433832555312425,True
A2BP1,ILMN_1787689,4.290139081266673,ILMN_1787689,0.10114135957069857,True
A2M,ILMN_1745607,7.824807876233967,ILMN_1745607,0.5248436745698398,True
A2ML1,ILMN_2136495,4.727297008061502,ILMN_2136495,0.5987056190016209,True
A3GALT2,ILMN_2295559,4.078104141627409,ILMN_2295559,0.035250851118393454,True
A4GALT,ILMN_1735045,6.339408324474169,ILMN_1735045,1.1841431528040178,True
A4GNT,ILMN_1680754,4.05596943280826,ILMN_1680754,0.017985793554844268,True
AAA1,ILMN_1659452,4.194021066433042,ILMN_1659452,0.14674891398923176,True
AAAS,ILMN_1755321,4.01534195813494,ILMN_1755321,0.0018941909347282182,True
AACS,ILMN_1698554,7.773551982050718,ILMN_1698554,0.25571592094410694,True
AACSL,ILMN_1814092,4.199395061881477,ILMN_1814092,0.19932646558865486,True
AADAC,ILMN_1760414,4.056423970351943,ILMN_1760414,0.012798257213714147,True
AADACL1,ILMN_2061446,5.4160316785954254,ILMN_1676336,0.565957857122442,False
AADACL2,ILMN_1752884,4.882223776017955,ILMN_1752884,0.6162984765341958,True
AADACL3,ILMN_1660703,4.072529959640576,ILMN_1660703,0.021148793788941276,True
AADACL4,ILMN_1668851,9.51741995370584,ILMN_1668851,2.381910985182994,True
AADAT,ILMN_1726986,4.375444588914663,ILMN_1726986,0.11074259857283063,True
AAK1,ILMN_1689211,6.310453044469564,ILMN_1689211,0.19169859886593416,True
AAMP,ILMN_1653165,6.215502469007152,ILMN_1653165,0.057997896986831575,True
AANAT,ILMN_1729835,4.0,ILMN_1729835,0.0,True
AARS,ILMN_1662364,8.53212213852869,ILMN_1662364,0.35315300611387535,True
AARS2,ILMN_1674698,5.201700912354463,ILMN_1674698,0.3618094132876592,True
AARSD1,ILMN_1700461,6.724355139132893,ILMN_1700461,0.06599008054908077,True
AASDH,ILMN_1784269,6.2122181386670565,ILMN_1784269,0.08276843442169782,True
AASDHPPT,ILMN_1698189,6.756967993586875,ILMN_2096191,0.07304804138889123,False
AASS,ILMN_2157219,6.041320538504598,ILMN_1678323,0.08240091860146537,False
AATF,ILMN_1703743,6.513106612940586,ILMN_1703743,0.13205697672918199,True
AATK,ILMN_1687609,5.187543951266966,ILMN_1687609,0.26544888077097617,True
ABAT,ILMN_1805104,4.1316091073155246,ILMN_1805104,0.038468505403763696,True
ABCA1,ILMN_1766054,8.564880616787775,ILMN_1766054,0.21443103302604635,True
ABCA10,ILMN_2070570,4.2967255354102445,ILMN_2070570,0.14472883488439323,True
ABCA11,ILMN_2232084,4.036798545658431,ILMN_2232084,0.007127375990263532,True
ABCA12,ILMN_2361400,5.198601893056118,ILMN_2361400,0.31837674238310687,True
ABCA13,ILMN_1704579,4.39787405138475,ILMN_1704579,0.21455937326691973,True
ABCA2,ILMN_1687636,4.015662082135045,ILMN_1687636,0.002943609801658852,True
ABCA3,ILMN_1758523,6.383208355954207,ILMN_1758523,0.2269151516413036,True
ABCA4,ILMN_1794965,7.216051909193199,ILMN_1794965,1.0143842231236642,True
ABCA5,ILMN_1784176,4.270607578875495,ILMN_1784176,0.07113898169909881,True
ABCA6,ILMN_1795507,6.362133197910772,ILMN_1701551,0.3360796302469794,False
ABCA7,ILMN_1743205,5.00276032260888,ILMN_1743205,0.19293225002915887,True
ABCA8,ILMN_1796801,6.054303587792539,ILMN_1796801,0.38628051985793416,True
ABCA9,ILMN_1720501,4.933204778992453,ILMN_1720501,0.34278054446447087,True
ABCB1,ILMN_1812070,4.700030478511934,ILMN_1812070,0.2283253969866099,True
ABCB10,ILMN_1665730,5.052177089050274,ILMN_1665730,0.20623141613792492,True
ABCB11,ILMN_2232066,5.158362028188041,ILMN_2232066,0.05699958818184705,True
ABCB4,ILMN_1767349,4.0,ILMN_1767349,0.0,True
ABCB5,ILMN_1658257,4.0,ILMN_1658257,0.0,True
ABCB6,ILMN_2193980,6.094844932421443,ILMN_2193980,0.2516227767175759,True
ABCB7,ILMN_1687840,5.921976330110908,ILMN_1687840,0.24914658650761395,True
ABCB8,ILMN_2102422,4.0,ILMN_2102422,0.0,True
ABCB9,ILMN_2343048,6.052114597969803,ILMN_2343047,0.1593214660676392,False
ABCC1,ILMN_1802404,4.132590324165854,ILMN_1802404,0.053697570853466776,True
