Program,Library,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
P1,GO_Biological_Process_2026,gs_ind_0,Eye Development (GO:0001654),5/66,4.488954092096976e-06,0.0032185800840335314,25.38385902183629,312.5740687113659,MEIS1;EFEMP1;MEIS2;PAX6;PBX1
P1,GO_Biological_Process_2026,gs_ind_0,Visual System Development (GO:0150063),4/40,1.4061804714330927e-05,0.0050411569900876375,34.662999503158495,387.256705426375,MEIS1;PBX1;PAX6;MEIS2
P1,GO_Biological_Process_2026,gs_ind_0,Positive Regulation of Transcription by RNA Polymerase II (GO:0045944),13/944,4.1568758048573415e-05,0.009934933173609047,4.3455900621118015,43.839015147203625,GLIS3;RUNX2;MEIS1;PBX1;ESRRG;MEIS2;PHIP;PAX6;EGFR;EPAS1;ZFHX3;HLF;MAML2
P1,GO_Biological_Process_2026,gs_ind_0,Sensory Organ Development (GO:0007423),4/62,8.068910651155369e-05,0.011570817873756798,21.609804703068953,203.67039916651376,MEIS1;PBX1;PAX6;MEIS2
P1,GO_Biological_Process_2026,gs_ind_0,Neuron Differentiation (GO:0030182),6/186,6.511725238013478e-05,0.011570817873756798,10.284116724559938,99.13190262152085,RUNX2;WNT5B;FUT9;PAX6;EGFR;PBX1
P1,GO_Biological_Process_2026,gs_ind_0,Negative Regulation of cAMP/PKA Signal Transduction (GO:0141162),3/28,0.00014668414433054405,0.015024647355000012,38.209653092006036,337.28535636083257,PDE7A;PDE1A;PDE4D
P1,GO_Biological_Process_2026,gs_ind_0,Positive Regulation of DNA-templated Transcription (GO:0045893),14/1205,0.0001275955234450833,0.015024647355000012,3.6545884989775845,32.76939867957094,GLIS3;ASPH;MEIS1;PBX1;RUNX2;ESRRG;MEIS2;PHIP;PAX6;EGFR;EPAS1;ZFHX3;HLF;MAML2
P1,GO_Biological_Process_2026,gs_ind_0,Regulation of Cytosolic Calcium Ion Concentration (GO:0051480),3/39,0.00039740327288258085,0.03561726833210131,26.683596768528275,208.94747861848276,ASPH;KCNH1;ITPR1
P1,GO_Biological_Process_2026,gs_ind_0,Regulation of Wnt Signaling Pathway (GO:0030111),4/105,0.0006129815436799723,0.035735972491568894,12.435156588988999,91.98503852715805,TCF7L1;GNAQ;ANKRD6;NXN
P1,GO_Biological_Process_2026,gs_ind_0,Positive Regulation of Protein Localization to Early Endosome (GO:1902966),2/10,0.0005878432500802306,0.035735972491568894,81.09734249029562,603.2872040697225,SORL1;MGAT3
P1,Reactome_Pathways_2024,gs_ind_0,Opioid Signalling,6/89,9.500331448023779e-07,0.00016578078376801495,22.31083864017996,309.3792448096497,ITPR1;GNAQ;PDE4D;NBEA;ADCY2;PDE1A
P1,Reactome_Pathways_2024,gs_ind_0,PLC Beta Mediated Events,5/48,9.061687404909075e-07,0.00016578078376801495,35.911355840404404,499.67205240765196,ITPR1;GNAQ;PDE1A;NBEA;ADCY2
P1,Reactome_Pathways_2024,gs_ind_0,G-protein Mediated Events,5/53,1.4967959379084312e-06,0.00017412726077668082,32.2032169266476,431.915463593465,ITPR1;GNAQ;PDE1A;NBEA;ADCY2
P1,Reactome_Pathways_2024,gs_ind_0,DAG and IP3 Signaling,4/40,1.4061804714330927e-05,0.0012268924613253733,34.662999503158495,387.256705426375,NBEA;ITPR1;ADCY2;PDE1A
P1,Reactome_Pathways_2024,gs_ind_0,GPCR Downstream Signalling,9/549,0.00019099019731670091,0.013146942330632183,5.1149006940547865,43.80037005769668,ITPR1;CHRM3;PDE7A;GNAQ;EGFR;PDE4D;NBEA;ADCY2;PDE1A
P1,Reactome_Pathways_2024,gs_ind_0,CaM Pathway,3/34,0.0002636922530499292,0.013146942330632183,30.924786324786325,254.8427477032776,NBEA;ADCY2;PDE1A
