Program,Library,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
P1,GO_Biological_Process_2026,gs_ind_0,"1-phosphatidyl-1D-myo-inositol 4,5-Bisphosphate Biosynthetic Process (GO:1902635)",1/5,0.018204501114733745,0.1600714829285777,91.0,364.55386253468845,PITPNC1
P1,GO_Biological_Process_2026,gs_ind_0,"1-phosphatidyl-1D-myo-inositol 4,5-Bisphosphate Metabolic Process (GO:1902633)",1/9,0.032531551648223855,0.1600714829285777,48.16937629323086,165.00635843822025,PITPNC1
P1,GO_Biological_Process_2026,gs_ind_0,Acetylcholine Receptor Signaling Pathway (GO:0095500),2/36,0.007734859472020119,0.1422024164471391,19.96137717943059,97.05257441117668,GNAQ;CHRM3
P1,GO_Biological_Process_2026,gs_ind_0,Acidic Amino Acid Transport (GO:0015800),1/24,0.08443833551787916,0.1803780077014192,17.41334331230621,43.0411486823959,SLC6A6
P1,GO_Biological_Process_2026,gs_ind_0,Actin Crosslink Formation (GO:0051764),1/13,0.04665159224326654,0.16052351256265693,32.75035175879397,100.38140738175221,EPS8
P1,GO_Biological_Process_2026,gs_ind_0,Actin Filament Bundle Assembly (GO:0051017),1/37,0.12718755619754754,0.2077300177531699,11.205961313416397,23.107728348226125,EPS8
P1,GO_Biological_Process_2026,gs_ind_0,Actin Filament Bundle Organization (GO:0061572),1/38,0.13039289018139794,0.21009371294396026,10.906733668341708,22.219232230345032,EPS8
P1,GO_Biological_Process_2026,gs_ind_0,Actin Filament Capping (GO:0051693),1/18,0.06401504258973123,0.17062745552727618,23.388801148600145,64.28732849758696,EPS8
P1,GO_Biological_Process_2026,gs_ind_0,Actin Filament Organization (GO:0007015),1/168,0.461605380801754,0.48106258435299076,2.430105752643816,1.8785808755688251,EPS8
P1,GO_Biological_Process_2026,gs_ind_0,Activation of Store-Operated Calcium Channel Activity (GO:0032237),1/5,0.018204501114733745,0.1600714829285777,91.0,364.55386253468845,ASPH
P1,GO_Biological_Process_2026,gs_ind_0,Actomyosin Structure Organization (GO:0031032),1/88,0.2766380581250635,0.3267701609154374,4.665699928212491,5.995635654658517,EPB41L4A
P1,GO_Biological_Process_2026,gs_ind_0,Acyl-CoA Metabolic Process (GO:0006637),1/29,0.10112025539501886,0.1854302381540371,14.355725998413119,32.89535401837941,ACSM1
P1,GO_Biological_Process_2026,gs_ind_0,Acylglycerol Biosynthetic Process (GO:0046463),1/22,0.07768007418553498,0.17851478586868133,19.03459156246348,48.636360355386536,PLCE1
P1,GO_Biological_Process_2026,gs_ind_0,Adaptive Thermogenesis (GO:1990845),1/17,0.060567584183063565,0.16702676099714067,24.80721790772042,69.5593259790493,SORL1
P1,GO_Biological_Process_2026,gs_ind_0,Adenylate Cyclase-Activating G Protein-Coupled Receptor Signaling Pathway (GO:0007189),2/143,0.09704055972792942,0.1854302381540371,4.847715736040609,11.307908960734725,GNAQ;ADCY2
P1,GO_Biological_Process_2026,gs_ind_0,Adenylate Cyclase-Inhibiting G Protein-Coupled Acetylcholine Receptor Signaling Pathway (GO:0007197),1/8,0.02896931280161029,0.1600714829285777,54.59396984924623,193.34553720447744,CHRM3
P1,GO_Biological_Process_2026,gs_ind_0,Adenylate Cyclase-Inhibiting G Protein-Coupled Receptor Signaling Pathway (GO:0007193),1/81,0.25773332405292904,0.30902139355510055,5.072723867786135,6.877750472831031,CHRM3
P1,GO_Biological_Process_2026,gs_ind_0,Adenylate Cyclase-Modulating G Protein-Coupled Receptor Signaling Pathway (GO:0007188),2/211,0.1813619055386209,0.2491120426651172,3.265994693674812,5.575904602142578,GNAQ;ADCY2
P1,GO_Biological_Process_2026,gs_ind_0,Adrenergic Receptor Signaling Pathway (GO:0071875),1/16,0.0571075553965845,0.16702676099714067,26.40865618414654,75.60319879037347,PDE4D
P1,GO_Biological_Process_2026,gs_ind_0,Alanine Transport (GO:0032328),1/13,0.04665159224326654,0.16052351256265693,32.75035175879397,100.38140738175221,SLC6A6
P1,GO_Biological_Process_2026,gs_ind_0,Amino Acid Import Across Plasma Membrane (GO:0089718),1/36,0.12397052607037776,0.2070383014972969,11.52204685398825,24.054708967199332,SLC6A6
P1,GO_Biological_Process_2026,gs_ind_0,Amino Acid Transport (GO:0006865),1/51,0.1710168333182885,0.238558500951776,8.09517886462013,14.296031530903484,SLC6A6
P1,GO_Biological_Process_2026,gs_ind_0,Amino Sugar Metabolic Process (GO:0006040),1/18,0.06401504258973123,0.17062745552727618,23.388801148600145,64.28732849758696,MGAT3
P1,GO_Biological_Process_2026,gs_ind_0,Aminoglycan Metabolic Process (GO:0006022),1/5,0.018204501114733745,0.1600714829285777,91.0,364.55386253468845,CHST9
P1,GO_Biological_Process_2026,gs_ind_0,Anterograde Trans-Synaptic Signaling (GO:0098916),3/168,0.024041914006635464,0.1600714829285777,5.856921527616391,21.834349000435473,UNC13C;CHRM3;MBP
P1,GO_Biological_Process_2026,gs_ind_0,Antigen Receptor-Mediated Signaling Pathway (GO:0050851),1/98,0.3028206973137532,0.3501974838289694,4.185620409741013,5.000202442333122,PDE4D
P1,GO_Biological_Process_2026,gs_ind_0,Apoptotic Cell Clearance (GO:0043277),1/23,0.08106535561630931,0.17939462955831412,18.187939698492464,45.697191038775365,TGM2
P1,GO_Biological_Process_2026,gs_ind_0,B Cell Chemotaxis (GO:0035754),1/6,0.021805834468432178,0.1600714829285777,74.4518044769301,284.8211635890129,CYP7B1
P1,GO_Biological_Process_2026,gs_ind_0,BMP Signaling Pathway (GO:0030509),1/51,0.1710168333182885,0.238558500951776,8.09517886462013,14.296031530903484,RUNX2
P1,GO_Biological_Process_2026,gs_ind_0,Barbed-end Actin Filament Capping (GO:0051016),1/18,0.06401504258973123,0.17062745552727618,23.388801148600145,64.28732849758696,EPS8
P1,GO_Biological_Process_2026,gs_ind_0,Bile Acid Biosynthetic Process (GO:0006699),2/25,0.003780992539606251,0.09087736754816911,29.316880872664434,163.52278131066697,OSBPL6;CYP7B1
P1,GO_Biological_Process_2026,gs_ind_0,Bile Acid Metabolic Process (GO:0008206),2/31,0.005777366093801807,0.11455774807937953,23.348963262496774,120.33605948747785,OSBPL6;CYP7B1
P1,GO_Biological_Process_2026,gs_ind_0,Bone Development (GO:0060348),1/44,0.14938162196228383,0.22313879780616147,9.400277248310518,17.872286764451427,TGM2
P1,GO_Biological_Process_2026,gs_ind_0,Brain Development (GO:0007420),4/155,0.0025800766426159866,0.07399659811022649,8.315754373364797,49.56136530432747,MEIS1;PBX1;PAX6;MEIS2
P1,GO_Biological_Process_2026,gs_ind_0,CAMP Biosynthetic Process (GO:0006171),1/10,0.036080852581350895,0.1600714829285777,43.0973287490082,143.16902243022955,ADCY2
