Program,Library,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
P4,Reactome_Pathways_2024,gs_ind_0,A Tetrasaccharide Linker Sequence Is Required for GAG Synthesis,1/26,0.09114756758275655,0.19857148651957676,16.046408513154006,38.435568598252985,GPC4
P4,Reactome_Pathways_2024,gs_ind_0,ABC Transporter Disorders,1/65,0.21266608310352175,0.277701582523559,6.334813602898212,9.80649435082848,ABCA1
P4,Reactome_Pathways_2024,gs_ind_0,Aberrant Regulation of Mitotic Cell Cycle Due to RB1 Defects,1/36,0.12397052607037776,0.21344925254859398,11.52204685398825,24.054708967199332,CDK6
P4,Reactome_Pathways_2024,gs_ind_0,Aberrant Regulation of Mitotic G1 S Transition in Cancer Due to RB1 Defects,1/17,0.060567584183063565,0.17836109273219408,24.80721790772042,69.5593259790493,CDK6
P4,Reactome_Pathways_2024,gs_ind_0,Acetylcholine Regulates Insulin Secretion,1/10,0.036080852581350895,0.1556214550730993,43.0973287490082,143.16902243022955,PLCB1
P4,Reactome_Pathways_2024,gs_ind_0,Activation of Ca-permeable Kainate Receptor,1/10,0.036080852581350895,0.1556214550730993,43.0973287490082,143.16902243022955,GRIK4
P4,Reactome_Pathways_2024,gs_ind_0,Activation of Kainate Receptors Upon Glutamate Binding,2/30,0.005417514395149481,0.0797682291975458,24.169115682607533,126.11730163340725,GRIK4;PLCB1
P4,Reactome_Pathways_2024,gs_ind_0,Activation of SMO,1/18,0.06401504258973123,0.18102267010473666,23.388801148600145,64.28732849758696,BOC
P4,Reactome_Pathways_2024,gs_ind_0,Adherens Junctions Interactions,2/57,0.018643659746222566,0.1432303843266989,12.398820139936891,49.37519097169622,TNRC6C;CDH13
P4,Reactome_Pathways_2024,gs_ind_0,Asparagine N-linked Glycosylation,1/290,0.6574059878610077,0.6651951583332945,1.3996667274194807,0.5870951207998688,ANK3
P4,Reactome_Pathways_2024,gs_ind_0,Assembly of Collagen Fibrils and Other Multimeric Structures,1/60,0.19803474382044972,0.26425261128541255,6.868417718846333,11.122116658096216,PXDN
P4,Reactome_Pathways_2024,gs_ind_0,Attachment and Entry 9694614,1/19,0.06744997582548398,0.18230438046171882,22.123726741817194,59.65373216204687,GPC4
P4,Reactome_Pathways_2024,gs_ind_0,Axon Guidance,7/518,0.003005069284965554,0.06415822923401458,4.180297018834193,24.276885380056534,SLIT3;EFNA5;SEMA5A;ANK3;FGFR1;VAV3;KALRN
P4,Reactome_Pathways_2024,gs_ind_0,Azathioprine ADME,1/22,0.07768007418553498,0.18739769309165782,19.03459156246348,48.636360355386536,VAV3
P4,Reactome_Pathways_2024,gs_ind_0,Beta-catenin Independent WNT Signaling,3/133,0.013007603573013763,0.1424165827096635,7.437371058060713,32.294710297463446,ROR1;TNRC6C;PLCB1
P4,Reactome_Pathways_2024,gs_ind_0,CDC42 GTPase Cycle,5/149,0.00022595569912061965,0.016854612876428695,10.770430623743184,90.41961328680057,ARHGAP24;DIAPH3;DLC1;VAV3;STARD13
P4,Reactome_Pathways_2024,gs_ind_0,COPI-mediated Anterograde Transport,1/92,0.2872259237732201,0.3350969110687568,4.461075871159074,5.565130506335436,ANK3
P4,Reactome_Pathways_2024,gs_ind_0,Ca2+ Pathway,2/62,0.021830455727526316,0.1432303843266989,11.372026681209883,43.491738712177906,TNRC6C;PLCB1
P4,Reactome_Pathways_2024,gs_ind_0,Cell Cycle,4/591,0.17218949411663487,0.25039963497291945,2.1097960533568516,3.711468189384125,RBBP8;CDK6;STAG1;CABLES1
P4,Reactome_Pathways_2024,gs_ind_0,Cell Cycle Checkpoints,1/234,0.5782991270299216,0.5935906904850398,1.7389624783446138,0.9523671873700407,RBBP8
P4,Reactome_Pathways_2024,gs_ind_0,"Cell Cycle, Mitotic",3/466,0.24433648155697646,0.30595799889979164,2.0682267031781594,2.914563644641562,CDK6;STAG1;CABLES1
