Program,Term,Library,Term_key,Enrichment_Term,Overlap,Adjusted P-value,Odds Ratio,Combined Score,Genes,_merge,neglog10_FDR
P1,Positive Regulation of Transcription by RNA Polymerase II,GO_Biological_Process_2026,Positive Regulation of Transcription by RNA Polymerase II,Positive Regulation of Transcription by RNA Polymerase II (GO:0045944),13/944,0.009934933173609,4.3455900621118015,43.839015147203625,GLIS3;RUNX2;MEIS1;PBX1;ESRRG;MEIS2;PHIP;PAX6;EGFR;EPAS1;ZFHX3;HLF;MAML2,both,2.0028350497852143
P1,GPCR Downstream Signalling,Reactome_Pathways_2024,GPCR Downstream Signalling,GPCR Downstream Signalling,9/549,0.0131469423306321,5.1149006940547865,43.80037005769668,ITPR1;CHRM3;PDE7A;GNAQ;EGFR;PDE4D;NBEA;ADCY2;PDE1A,both,1.8811752421053642
P2,Cytoplasmic Translation,GO_Biological_Process_2026,Cytoplasmic Translation,Cytoplasmic Translation (GO:0002181),81/101,1.3394835684915318e-195,5534.762351469669,2517387.6187963835,RPS6;RPL37A;RPL12;RPS10;RPL22L1;RPS4X;RPL23;RPL10;RPS28;RPS3;RPS15;RPL39;RPL18A;RPS7;RPL23A;RPL36A;FAU;RPL19;RPL24;RPS15A;RPLP1;RPL34;RPL8;RACK1;RPL14;RPL38;RPS13;RPS27;RPL6;RPS25;RPL17;RPS20;RPSA;RPS11;RPS14;RPL3;RPS5;RPS21;RPL26;RPL35A;RPS26;RPLP0;RPLP2;RPL36;RPL9;RPL13;RPL35;RPS29;RPL4;RPS2;UBA52;RPS9;RPL13A;RPL5;RPS16;RPL10A;RPS12;RPL27;RPL41;RPL36AL;RPS8;RPL22;RPL11;RPS19;RPL32;RPL30;RPL7;RPS23;RPL21;RPS17;RPL15;RPS24;RPL29;RPS27A;RPL37;RPL31;RPL7A;RPL18;RPL28;RPL27A;RPS18,both,194.87306260953412
P2,Eukaryotic Translation Elongation,Reactome_Pathways_2024,Eukaryotic Translation Elongation,Eukaryotic Translation Elongation,84/89,2.7548480816165544e-218,25291.8044077135,12827860.420196705,EEF1A1;RPS6;RPL37A;RPL12;RPS10;RPL22L1;RPS4X;RPL23;RPL10;RPS28;RPS3;EEF2;RPS15;RPL39;RPL18A;RPS7;RPL23A;FAU;RPL36A;RPL24;RPL19;RPLP1;RPS15A;RPL34;RPL8;RPL14;RPL38;RPS13;RPS27;RPL6;RPS25;RPL17;RPS20;RPSA;RPS11;RPS14;RPL3;RPS5;RPS21;RPL26;RPL35A;RPS26;EEF1B2;RPLP0;RPLP2;RPL36;RPL9;RPL13;RPL35;RPS29;RPL4;RPS2;UBA52;RPS9;RPL13A;RPL5;RPL10A;RPS16;RPS12;RPL27;RPL36AL;RPL41;RPS8;EEF1G;RPL22;RPL11;RPS19;RPL32;RPL30;RPL7;RPS23;RPL21;RPS17;RPL15;RPS24;RPL29;RPS27A;RPL37;RPL31;RPL7A;RPL18;RPL28;RPL27A;RPS18,both,217.55990234568145
P3,Integrated Stress Response Signaling,GO_Biological_Process_2026,Integrated Stress Response Signaling,Integrated Stress Response Signaling (GO:0140467),4/37,0.001894425221057,37.771324723532594,433.9324893059588,ARIH1;JUNB;JUN;FOSL1,both,2.722522533024652
P3,NGF-stimulated Transcription,Reactome_Pathways_2024,NGF-stimulated Transcription,NGF-stimulated Transcription,5/37,3.0187401463927017e-05,48.08546113572292,733.3178297664274,CHD4;JUNB;FOSL1;EGR1;FOSB,both,4.520174269502512
P4,Axon Guidance,GO_Biological_Process_2026,Axon Guidance,Axon Guidance (GO:0007411),7/152,0.0013702340818171,14.89745851480236,199.6693871910856,SLIT3;BOC;NFIB;EFNA5;SEMA5A;TENM2;KALRN,both,2.8632052344804664
P4,Signaling by Receptor Tyrosine Kinases,Reactome_Pathways_2024,Signaling by Receptor Tyrosine Kinases,Signaling by Receptor Tyrosine Kinases,11/516,0.0013295302825029,6.777265719543126,85.93378820245026,ESR1;SPRED2;TGFBR3;LAMA4;FGFR1;PTPRS;PTPRK;TNS3;ELMO1;VAV3;RBFOX2,both,2.8763017663624018
P5,Supramolecular Fiber Organization,GO_Biological_Process_2026,Supramolecular Fiber Organization,Supramolecular Fiber Organization (GO:0097435),8/298,0.006601017122692,8.50197702004931,94.75797246930443,MYO5B;DSP;ACTN1;KRT79;MYO1B;SH3KBP1;DSG3;KRT17,both,2.1803891407098592
P5,RHO GTPase Cycle,Reactome_Pathways_2024,RHO GTPase Cycle,RHO GTPase Cycle,10/434,0.0006935999757116,7.30939226519337,89.91122445963602,PAK3;PLEKHG1;FAM83B;DSP;ACTN1;ARHGAP28;AKAP13;MPP7;ARHGAP20;LRRC1,both,3.1588909307399176
P6,Keratinocyte Differentiation,GO_Biological_Process_2026,Keratinocyte Differentiation,Keratinocyte Differentiation (GO:0030216),8/39,2.75097471152634e-10,79.16267696267697,2161.975847547837,SCEL;POU2F3;CDSN;FLG;ACER1;DSP;KRT10;UGCG,both,9.560513401865876
P6,Formation of the Cornified Envelope,Reactome_Pathways_2024,Formation of the Cornified Envelope,Formation of the Cornified Envelope,16/106,2.0892554648004904e-19,58.42345287521658,2833.8512243682662,KRT1;PCSK6;DSC1;FLG;CDSN;DSP;PERP;KRT10;KRT78;SPINK5;KRT77;PPL;KLK5;KLK8;JUP;CASP14,both,18.680008453188744
P7,Cholesterol Biosynthetic Process,GO_Biological_Process_2026,Cholesterol Biosynthetic Process,Cholesterol Biosynthetic Process (GO:0006695),15/27,6.022966311217571e-28,393.8341520467836,27012.67232708622,HMGCS1;MVD;FDPS;NSDHL;ACLY;PMVK;MSMO1;DHCR7;SQLE;FDFT1;LSS;HSD17B7;IDI1;DHCR24;HMGCR,both,27.220189565999803
P7,Activation of Gene Expression by SREBF (SREBP),Reactome_Pathways_2024,Activation of Gene Expression by SREBF (SREBP),Activation of Gene Expression by SREBF (SREBP),17/40,3.896411203142462e-30,242.0837049305644,17341.54695507497,HMGCS1;MVD;FDPS;SREBF2;PMVK;FASN;ELOVL6;DHCR7;SQLE;FDFT1;LSS;ACACA;PPARA;GPAM;IDI1;HMGCR;ACACB,both,29.409335216620914
P8,"Fatty Acid Elongation, Monounsaturated Fatty Acid",GO_Biological_Process_2026,"Fatty Acid Elongation, Monounsaturated Fatty Acid","Fatty Acid Elongation, Monounsaturated Fatty Acid (GO:0034625)",3/7,0.0002447405701859,216.6888888888889,2884.1869801859984,ELOVL1;ELOVL7;ELOVL4,both,3.6112940324977516
P8,Wax and Plasmalogen Biosynthesis,Reactome_Pathways_2024,Wax and Plasmalogen Biosynthesis,Wax and Plasmalogen Biosynthesis,3/7,0.0001939145178105,216.6888888888889,2884.1869801859984,AWAT2;FAR1;AWAT1,both,3.7123896753515937
